2025-04-02 08:28:50,835: 
configs: {'overlap': True, 'random_seed': 1, 'curr_step': 0, 'task': '10-1', 'gpu_ids': [0, 1], 'ckpt': 'None', 'amp': True, 'train': {'MBS': True, 'weight_transfer': True, 'distill_args': 25, 'backbone': 'vit_b_16', 'train_epochs': 32, 'log_iters': 50, 'crop_val': True, 'loss_type': 'ce_loss', 'pseudo_thresh': 0.7}, 'dataset': {'name': 'voc', 'data_root': '/root/ECCV2024_MBS/data_root/VOCdevkit/VOC2012', 'crop_size': 512, 'resize_range': [512, 2048], 'rescale_range': [0.5, 2.0], 'ignore_index': 255, 'batch_size': 4, 'val_batch_size': 4}, 'optimizer': {'learning_rate': 0.001, 'inc_lr': 0.1, 'weight_decay': 1e-05}}
2025-04-02 08:28:52,594: Resized position embedding: torch.Size([1, 577, 768]) to torch.Size([1, 1025, 768])
2025-04-02 08:28:52,594: Position embedding grid-size from [24, 24] to (32, 32)
2025-04-02 08:29:47,246: [Epochs: 0 Iter: 50] Elasped: 0:00:57; ETA: 7:45:23; LR: 1.000e-03; loss: 1.256700; FD_loss: 0.000000; OD_loss: 0.000000
2025-04-02 08:30:36,138: [Epochs: 0 Iter: 100] Elasped: 0:01:46; ETA: 7:11:50; LR: 1.000e-03; loss: 0.907392; FD_loss: 0.000000; OD_loss: 0.000000
2025-04-02 08:31:24,639: [Epochs: 0 Iter: 150] Elasped: 0:02:34; ETA: 6:57:24; LR: 1.000e-03; loss: 0.735995; FD_loss: 0.000000; OD_loss: 0.000000
2025-04-02 08:32:13,287: [Epochs: 0 Iter: 200] Elasped: 0:03:23; ETA: 6:51:49; LR: 1.000e-03; loss: 0.646592; FD_loss: 0.000000; OD_loss: 0.000000
2025-04-02 08:33:02,030: [Epochs: 0 Iter: 250] Elasped: 0:04:12; ETA: 6:48:08; LR: 1.000e-03; loss: 0.589471; FD_loss: 0.000000; OD_loss: 0.000000
2025-04-02 08:33:50,633: [Epochs: 0 Iter: 300] Elasped: 0:05:00; ETA: 6:44:04; LR: 1.000e-03; loss: 0.540475; FD_loss: 0.000000; OD_loss: 0.000000
2025-04-02 08:34:39,438: [Epochs: 0 Iter: 350] Elasped: 0:05:49; ETA: 6:42:04; LR: 1.000e-03; loss: 0.499190; FD_loss: 0.000000; OD_loss: 0.000000
2025-04-02 08:35:28,259: [Epochs: 0 Iter: 400] Elasped: 0:06:38; ETA: 6:40:23; LR: 1.000e-03; loss: 0.465565; FD_loss: 0.000000; OD_loss: 0.000000
2025-04-02 08:36:17,510: [Epochs: 0 Iter: 450] Elasped: 0:07:27; ETA: 6:38:53; LR: 1.000e-03; loss: 0.443115; FD_loss: 0.000000; OD_loss: 0.000000
2025-04-02 08:37:05,989: [Epochs: 0 Iter: 500] Elasped: 0:08:15; ETA: 6:36:43; LR: 1.000e-03; loss: 0.423930; FD_loss: 0.000000; OD_loss: 0.000000
2025-04-02 08:37:54,706: [Epochs: 0 Iter: 550] Elasped: 0:09:04; ETA: 6:35:32; LR: 1.000e-03; loss: 0.405411; FD_loss: 0.000000; OD_loss: 0.000000
2025-04-02 08:38:43,608: [Epochs: 0 Iter: 600] Elasped: 0:09:53; ETA: 6:34:24; LR: 1.000e-03; loss: 0.387812; FD_loss: 0.000000; OD_loss: 0.000000
2025-04-02 08:39:32,344: [Epochs: 0 Iter: 650] Elasped: 0:10:42; ETA: 6:33:19; LR: 1.000e-03; loss: 0.374658; FD_loss: 0.000000; OD_loss: 0.000000
2025-04-02 08:40:21,102: [Epochs: 0 Iter: 700] Elasped: 0:11:31; ETA: 6:32:17; LR: 1.000e-03; loss: 0.366157; FD_loss: 0.000000; OD_loss: 0.000000
2025-04-02 08:41:09,829: [Epochs: 0 Iter: 750] Elasped: 0:12:19; ETA: 6:30:45; LR: 1.000e-03; loss: 0.354410; FD_loss: 0.000000; OD_loss: 0.000000
2025-04-02 08:42:00,836: [Epochs: 1 Iter: 800] Elasped: 0:13:10; ETA: 6:30:47; LR: 1.000e-03; loss: 0.345740; FD_loss: 0.000000; OD_loss: 0.000000
2025-04-02 08:42:49,535: [Epochs: 1 Iter: 850] Elasped: 0:13:59; ETA: 6:29:47; LR: 1.000e-03; loss: 0.337931; FD_loss: 0.000000; OD_loss: 0.000000
2025-04-02 08:43:38,460: [Epochs: 1 Iter: 900] Elasped: 0:14:48; ETA: 6:28:48; LR: 1.000e-03; loss: 0.331360; FD_loss: 0.000000; OD_loss: 0.000000
2025-04-02 08:44:27,351: [Epochs: 1 Iter: 950] Elasped: 0:15:37; ETA: 6:27:51; LR: 1.000e-03; loss: 0.324482; FD_loss: 0.000000; OD_loss: 0.000000
2025-04-02 08:45:16,489: [Epochs: 1 Iter: 1000] Elasped: 0:16:26; ETA: 6:26:54; LR: 1.000e-03; loss: 0.318276; FD_loss: 0.000000; OD_loss: 0.000000
2025-04-02 08:46:05,568: [Epochs: 1 Iter: 1050] Elasped: 0:17:15; ETA: 6:25:58; LR: 1.000e-03; loss: 0.312083; FD_loss: 0.000000; OD_loss: 0.000000
